"Project","galasa-managers-parent"
"Directory Scanned","/Users/dianaslepikaite/Documents/Galasa/managers/galasa-managers-parent"
"Date","2020-10-15T14:03:56.454Z"
"CLI Version","2.3.1"
"WILD Version","1.0.205"
""
"Name","Version","Need Pedigree Review","Reason","Review Level","License Types","Declared License","License Status","Path"
"dev.galasa.cicsts.ceci.manager","0.12.0","true","New package and not exempt","","EPL-2.0","EPL-2.0","Approved","galasa-managers-cicsts-parent/dev.galasa.cicsts.ceci.manager/target/dev.galasa.cicsts.ceci.manager-0.12.0-SNAPSHOT.jar"
"dev.galasa.cicsts.manager","0.12.0","true","New package and not exempt","","EPL-2.0","EPL-2.0","Approved","galasa-managers-cicsts-parent/dev.galasa.cicsts.manager/target/dev.galasa.cicsts.manager-0.12.0-SNAPSHOT.jar"
"dev.galasa.docker.manager.ivt","0.12.0","true","New package and not exempt","","EPL-2.0","EPL-2.0","Approved","galasa-managers-cloud-parent/dev.galasa.docker.manager.ivt/target/dev.galasa.docker.manager.ivt-0.12.0-SNAPSHOT.jar"
"dev.galasa.docker.manager","0.12.0","true","New package and not exempt","","EPL-2.0","EPL-2.0","Approved","galasa-managers-cloud-parent/dev.galasa.docker.manager/target/dev.galasa.docker.manager-0.12.0-SNAPSHOT.jar"
"dev.galasa.kubernetes.manager.ivt","0.12.0","true","New package and not exempt","","EPL-2.0","EPL-2.0","Approved","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager.ivt/target/dev.galasa.kubernetes.manager.ivt-0.12.0-SNAPSHOT.jar"
"animal-sniffer-annotations","1.14","false","Previously pedigree reviewed","2","MIT","","Approved","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/animal-sniffer-annotations-1.14.jar"
"bcpkix-jdk15on","1.60","false","Previously pedigree reviewed","2","","","No license information available","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/bcpkix-jdk15on-1.60.jar"
"bcprov-ext-jdk15on","1.60","false","Previously pedigree reviewed","2.1","","","No license information available","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/bcprov-ext-jdk15on-1.60.jar"
"bcprov-jdk15on","1.60","false","Previously pedigree reviewed","2","","","No license information available","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/bcprov-jdk15on-1.60.jar"
"builder-annotations","0.19.2","false","Exempt - Version closely related to 0.19.0","2","Apache-2.0","","Approved","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/builder-annotations-0.19.2.jar"
"checker-compat-qual","2.0.0","false","Previously pedigree reviewed","2","","","No license information available","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/checker-compat-qual-2.0.0.jar"
"client-java","7.0.0","false","Previously pedigree reviewed","2","Apache-2.0","Apache-2.0","Approved","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/client-java-7.0.0.jar"
"commons-codec","1.11","false","Previously pedigree reviewed","1","Apache-2.0","Apache-2.0","Approved","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/commons-codec-1.11.jar"
"commons-collections4","4.1","false","Previously pedigree reviewed","2","Apache-2.0","Apache-2.0","Approved","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/commons-collections4-4.1.jar"
"commons-compress","1.19","false","Previously pedigree reviewed","1","Apache-2.0","Apache-2.0","Approved","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/commons-compress-1.19.jar"
"commons-lang3","3.7","false","Previously pedigree reviewed","2","Apache-2.0","Apache-2.0","Approved","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/commons-lang3-3.7.jar"
"error_prone_annotations","2.1.3","false","Exempt - Version closely related to 2.1.1","2","Apache-2.0","Apache-2.0","Approved","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/error_prone_annotations-2.1.3.jar"
"gson","2.8.0","false","Previously pedigree reviewed","2","","","No license information available","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/gson-2.8.0.jar"
"gson-fire","1.8.3","false","Exempt - Version closely related to 1.8.0","2","MIT","MIT","Approved","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/gson-fire-1.8.3.jar"
"guava","24.1.1","false","Previously pedigree reviewed","2","Apache-2.0","Apache-2.0","Approved","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/guava-24.1.1-jre.jar"
"j2objc-annotations","1.1","false","Previously pedigree reviewed","2","Apache-2.0","Apache-2.0","Approved","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/j2objc-annotations-1.1.jar"
"javax.annotation-api","1.3.2","false","Exempt - Version closely related to 1.3.1","2","CDDL-1.0,GPL-2.0,KEYWORD,UNKNOWN","GPL-2.0","Needs Review | Needs Legal Approval","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/javax.annotation-api-1.3.2.jar"
"joda-convert","1.2","false","Exempt - Expected license matched","2","Apache-2.0","Apache-2.0","Approved","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/joda-convert-1.2.jar"
"joda-time","2.9.3","false","Previously pedigree reviewed","2","Apache-2.0","Apache-2.0","Approved","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/joda-time-2.9.3.jar"
"jsr305","1.3.9","false","Previously pedigree reviewed","2","CC-BY-2.5","","Needs Legal Approval","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/jsr305-1.3.9.jar"
"logging-interceptor","3.14.3","false","Exempt - Version closely related to 3.14.9","2","","","No license information available","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/logging-interceptor-3.14.3.jar"
"okhttp","3.14.3","false","Exempt - Version closely related to 3.14.1","2","MPL-2.0,UNKNOWN","","Needs Review","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/okhttp-3.14.3.jar"
"okio","1.17.2","false","Previously pedigree reviewed","2","","","No license information available","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/okio-1.17.2.jar"
"protobuf-java","3.4.0","false","Previously pedigree reviewed","2","BSD-3-Clause","BSD-3-Clause","Approved","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/protobuf-java-3.4.0.jar"
"resourcecify-annotations","0.19.2","false","Exempt - Expected license matched","2","Apache-2.0","","Approved","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/resourcecify-annotations-0.19.2.jar"
"slf4j-api","1.7.25","false","Exempt - Version closely related to 1.7.29","2","","","No license information available","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/slf4j-api-1.7.25.jar"
"snakeyaml","1.25","false","Previously pedigree reviewed","2","AML,Apache-2.0","Apache-2.0","Approved","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/snakeyaml-1.25.jar"
"sundr-codegen","0.19.2","true","New version and not exempt","","Apache-2.0,LGPL-3.0","","Needs Legal Approval","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/sundr-codegen-0.19.2.jar"
"sundr-core","0.19.2","false","Exempt - Expected license matched","2","Apache-2.0","","Approved","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/sundr-core-0.19.2.jar"
"swagger-annotations","1.5.22","false","Previously pedigree reviewed","2","Apache-2.0","Apache-2.0","Approved","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/classes/swagger-annotations-1.5.22.jar"
"dev.galasa.kubernetes.manager","0.12.0","true","New package and not exempt","","EPL-2.0","EPL-2.0","Approved","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/dev.galasa.kubernetes.manager-0.12.0-SNAPSHOT.jar"
"client-java-api","7.0.0","false","Exempt - Expected license matched","2","Apache-2.0","Apache-2.0","Approved","galasa-managers-cloud-parent/dev.galasa.kubernetes.manager/target/dev.galasa.kubernetes.manager-0.12.0-SNAPSHOT.jar/client-java-api-7.0.0.jar"
"dev.galasa.openstack.manager","0.12.0","true","New package and not exempt","","EPL-2.0","EPL-2.0","Approved","galasa-managers-cloud-parent/dev.galasa.openstack.manager/target/dev.galasa.openstack.manager-0.12.0-SNAPSHOT.jar"
"dev.galasa.http.manager.ivt","0.12.0","true","New package and not exempt","","EPL-2.0","EPL-2.0","Approved","galasa-managers-comms-parent/dev.galasa.http.manager.ivt/target/dev.galasa.http.manager.ivt-0.12.0-SNAPSHOT.jar"
"dev.galasa.http.manager","0.12.0","true","New package and not exempt","","EPL-2.0","EPL-2.0","Approved","galasa-managers-comms-parent/dev.galasa.http.manager/target/dev.galasa.http.manager-0.12.0-SNAPSHOT.jar"
"dev.galasa.ipnetwork.manager","0.12.0","true","New package and not exempt","","EPL-2.0","EPL-2.0","Approved","galasa-managers-comms-parent/dev.galasa.ipnetwork.manager/target/dev.galasa.ipnetwork.manager-0.12.0-SNAPSHOT.jar"
"dev.galasa.artifact.manager.ivt","0.12.0","true","New package and not exempt","","EPL-2.0","EPL-2.0","Approved","galasa-managers-core-parent/dev.galasa.artifact.manager.ivt/target/dev.galasa.artifact.manager.ivt-0.12.0-SNAPSHOT.jar"
"dev.galasa.artifact.manager","0.12.0","true","New package and not exempt","","EPL-2.0","EPL-2.0","Approved","galasa-managers-core-parent/dev.galasa.artifact.manager/target/dev.galasa.artifact.manager-0.12.0-SNAPSHOT.jar"
"dev.galasa.core.manager.ivt","0.12.0","true","New package and not exempt","","EPL-2.0","EPL-2.0","Approved","galasa-managers-core-parent/dev.galasa.core.manager.ivt/target/dev.galasa.core.manager.ivt-0.12.0-SNAPSHOT.jar"
